2013-06-20 03:41:52+0200 [scrapy] INFO: Scrapy 0.16.5 started (bot: dame_post)
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, SpiderState
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, ChunkedTransferMiddleware, DownloaderStats
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled item pipelines: DamePostPipeline
2013-06-20 03:42:12+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/22/> (referer: http://osl.ugr.es/page/21/)
2013-06-20 03:42:13+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/23/> (referer: http://osl.ugr.es/page/22/)
2013-06-20 03:42:14+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/24/> (referer: http://osl.ugr.es/page/23/)
2013-06-20 03:42:15+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/25/> (referer: http://osl.ugr.es/page/24/)
2013-06-20 03:42:16+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/26/> (referer: http://osl.ugr.es/page/25/)
2013-06-20 03:42:17+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/27/> (referer: http://osl.ugr.es/page/26/)
2013-06-20 03:42:18+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/28/> (referer: http://osl.ugr.es/page/27/)
2013-06-20 03:42:18+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/28/www.r-project.org> (referer: http://osl.ugr.es/page/28/)
2013-06-20 03:42:19+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/29/> (referer: http://osl.ugr.es/page/28/)
2013-06-20 03:42:20+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/30/> (referer: http://osl.ugr.es/page/29/)
2013-06-20 03:42:20+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/31/> (referer: http://osl.ugr.es/page/30/)
2013-06-20 03:42:21+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/32/> (referer: http://osl.ugr.es/page/31/)
2013-06-20 03:42:22+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/33/> (referer: http://osl.ugr.es/page/32/)
